Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Pct of delay train
2024-12-01,National,PARIS LYON,DIJON VILLE,96.0,385.0,0.0,50.0,17.08766667,2.056363636,32.0,26.3046875,2.657619048,23.0,31.35289855,10.0,1.0,6.25,6.25,12.5,43.75,12.5,18.75,12.987012987012985
2024-12-01,National,LILLE,LYON PART DIEU,183.0,380.0,0.0,191.0,7.878708551506283,3.988647083695263,102.0,32.71490204572775,10.874495870689213,75.0,39.48444444,29.0,11.0,10.78431372627451,18.627450979705884,28.43137254882353,26.470588233823527,13.7254902,1.960784315,50.26315789473684
2024-12-01,International,PARIS LYON,LAUSANNE,230.0,176.0,3.0,20.0,22.6075,30.62165761769024,24.0,35.37291667,5.609537572,24.0,35.37291667,11.0,3.0,37.5,16.666666669999998,12.5,25.0,8.33333333,0.0,11.560693641618498
2024-12-01,National,STRASBOURG,NANTES,335.0,59.0,1.0,15.0,6.206666667,1.584195402,8.0,33.34166667,5.679310345,8.0,33.34166667,4.0,1.0,12.5,12.5,12.5,50.0,0.0,75.91572970554272,25.862068965517242
2024-12-01,National,STRASBOURG,PARIS EST,115.0,701.0,4.0,380.0,10.3281579,5.691535151,123.0,26.036178862000003,6.1986131038000005,88.0,31.08219697,26.0,8.0,17.07317073,8.943089429999999,23.57723577,16.2601626,21.95121951,12.19512195,54.51936872309899
2024-12-01,International,PARIS LYON,GENEVE,191.0,254.0,1.0,41.0,16.15813008,2.464097497,365.28344208809136,28.52342342,5.510474308,37.0,28.52342342,9.0,2.0,54.05405405,13.51351351,2.7027027,21.62162162,5.40540541,2.7027027,16.205533596837945
2024-12-01,National,PARIS LYON,NICE VILLE,347.0,200.0,1.0,21.0,14.01031746,1.142629816,26.0,64.51602564,9.354020101,26.0,64.51602564,15.0,7.0,30.76923077,15.38461538,26.92307692,11.53846154,3.84615385,11.53846154,10.552763819095476
2024-12-01,National,PARIS MONTPARNASSE,NANTES,131.0,591.0,4.0,63.0,11.27857143,0.817319705,62.0,34.14973118,4.189381034,53.0,37.83018868,25.0,6.0,29.03225806,19.35483871,17.741935480000002,3.2258064500000003,14.51612903,75.91572970554272,10.732538330494037
2024-12-01,National,PARIS LYON,TOULON,237.0,258.0,0.0,25.0,12.657333333000002,0.930813954,26.0,64.71346154,7.771899225,26.0,64.71346154,13.0,7.0,23.07692308,15.38461538,23.07692308,15.38461538,3.84615385,19.23076923,9.689922480620156
2024-12-01,International,PARIS LYON,ITALIE,497.0,31.0,0.0,3.0,12.88888889,1.328494624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67741935483871
2024-12-01,National,ANNECY,PARIS LYON,227.0,158.0,0.0,4.0,4.5,0.1191983122,25.0,27.39733333,6.429113924,25.0,27.397333332999995,6.0,1.0,8.0,24.0,60.0,4.0,0.0,4.0,2.5316455696202533
2024-12-01,National,NANCY,PARIS EST,95.0,288.0,0.0,56.0,8.07827381,1.671527778,365.28344208809136,34.09107143,4.515509259,16.0,51.84479167,10.0,4.0,14.28571429,25.0,25.0,14.28571429,14.28571429,7.14285714,19.444444444444446
2024-11-01,National,PARIS EST,REIMS,46.0,228.0,0.0,34.0,118.28872062060988,1.870540936,29.0,21.27643678,3.174049708,13.0,33.65128205,3.0,3.0,10.714285710000002,14.28571429,14.28571429,32.14285713999999,17.85714286,10.714285710000002,14.912280701754385
2024-11-01,National,PARIS LYON,ANNECY,238.0,134.0,0.0,13.0,15.37435897,30.62165761769024,18.0,45.055555556,7.179104478,18.0,45.05555556,12.0,1.0,50.0,16.666666669999998,16.666666669999998,5.55555556,0.0,11.11111111,9.701492537313433
2024-11-01,National,PARIS MONTPARNASSE,ST MALO,159.0,93.0,0.0,15.0,11.56444444,1.52921147,15.0,26.31111111,5.621326165,12.0,29.70277778,3.0,1.0,26.66666667,6.666666670000001,13.33333333,13.33333333,26.66666667,13.33333333,16.129032258064516
2024-11-01,National,PERPIGNAN,PARIS LYON,317.0,167.0,0.0,18.0,13.15740741,1.228143713,30.0,49.32555556,9.713972056,30.0,49.32555556,12.0,7.0,36.66666667,20.0,16.666666669999998,13.33333333,3.33333333,10.0,10.778443113772456
2024-11-01,National,RENNES,LYON PART DIEU,236.0,85.0,0.0,21.0,6.583333333,1.659638554,14.0,56.47142857,6.371084337,14.0,56.47142857,9.0,3.0,35.71428571,0.0,28.57142857,14.28571429,0.0,21.42857143,24.705882352941178
2024-11-01,International,GENEVE,PARIS LYON,204.0,210.0,0.0,166.0,5.214658635,4.268500797,36.0,59.77916666699999,10.67392345,36.0,59.77916667,26.0,13.0,50.0,25.0,11.11111111,2.77777778,11.11111111,0.0,79.04761904761905
2024-11-01,National,PARIS LYON,AIX EN PROVENCE TGV,192.0,429.0,2.0,40.0,21.12208333,1.625214676,49.0,43.24217687,6.059953162,42.0,48.31984127,19.0,5.0,16.666666669999998,14.58333333,20.83333333,35.41666667,2.08333333,10.41666667,9.367681498829041
2024-11-01,National,PARIS LYON,NICE VILLE,343.0,168.0,0.0,24.0,15.875694444,1.9545634921,32.0,345.3266769288485,9.379563492,32.0,36.26979167,14.0,2.0,28.125,21.875,21.875,12.5,6.25,9.375,14.285714285714285
2024-11-01,National,MARSEILLE ST CHARLES,LILLE,284.0,184.0,1.0,28.0,4.674404761892857,0.4275045537628414,42.0,32.06987723,9.761566484737706,42.0,31.86825396833333,12.0,5.0,16.666666666666664,28.57142857142857,23.809523809523807,11.904761904761903,72.0439601026586,9.523809523809524,15.300546448087433
2024-10-01,National,PARIS MONTPARNASSE,LE MANS,62.0,463.0,0.0,32.0,20.04791667,0.964902808,45.0,22.86222222,2.81213103,22.0,346.4742866898222,9.0,3.0,14.63414634,2.43902439,31.70731707,24.3902439,9.75609756,17.07317073,6.911447084233262
2024-10-01,National,METZ,PARIS EST,87.0,315.0,0.0,118.0,6.341242938,2.445435244,43.0,16.54922481,3.112845011,21.0,24.54047619,4.0,0.0,7.14285714,7.14285714,40.47619048,11.9047619,21.42857143,11.9047619,37.46031746031746
2024-10-01,National,AVIGNON TGV,PARIS LYON,162.0,499.0,0.0,269.0,6.271685254,3.388487283,365.28344208809136,27.75,4.30227577,38.0,37.23157895,14.0,3.0,17.741935480000002,27.41935484,29.03225806,12.90322581,4.83870968,8.064516130000001,53.90781563126252
2024-10-01,National,LE MANS,PARIS MONTPARNASSE,57.0,491.0,0.0,200.0,13.90425,5.69952381,82.0,40.70426829,6.528231293,48.0,63.25729167,30.0,15.0,37.17948718,24.35897436,10.25641026,6.41025641,8.97435897,12.82051282,40.73319755600815
2024-10-01,International,PARIS LYON,LAUSANNE,228.0,112.0,26.0,7.0,23.46190476,0.148062016,7.0,26.71666667,2.899224806,7.0,26.71666667,2.0,0.0,28.57142857,42.85714286,14.28571429,0.0,14.28571429,0.0,8.13953488372093
2024-10-01,National,ANGOULEME,PARIS MONTPARNASSE,124.0,350.0,1.0,212.0,7.072327044,4.27887931,51.0,29.712418301,58.47323134889636,37.0,35.7972973,17.0,3.0,11.76470588,45.09803922,11.76470588,11.76470588,5.88235294,13.7254902,60.74498567335244
2024-10-01,National,LA ROCHELLE VILLE,PARIS MONTPARNASSE,168.0,221.0,0.0,19.0,6.938596491,0.640497738,28.0,31.828571429,6.234012066399999,18.0,42.03703704,5.0,2.0,10.71428571,46.42857143,14.28571429,17.85714286,7.14285714,3.57142857,8.597285067873303
2024-10-01,International,BARCELONA,PARIS LYON,413.0,70.0,0.0,20.0,118.28872062060988,1.414285714,5.0,24.45,4.926904762,5.0,24.45,1.0,0.0,60.0,20.0,20.0,0.0,0.0,0.0,28.57142857142857
2024-10-01,National,PARIS EST,METZ,85.0,282.0,0.0,24.0,7.086805555599999,0.64929078,26.0,15.29230769,2.22464539,10.0,24.83666667,1.0,0.0,4.0,32.0,16.0,20.0,8.0,20.0,8.51063829787234
2024-10-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,62.0,541.0,1.0,210.0,5.425396825,2.279888268,101.0,14.46386139,3.357914339,28.0,28.18095238,7.0,1.0,6.7415730300000005,29.21348315,37.07865169,10.11235955,2.24719101,14.60674157,38.88888888888889
2024-09-01,National,POITIERS,PARIS MONTPARNASSE,96.0,482.0,0.0,194.0,11.57835052,4.184652778,94.0,28.74663121,6.362638889,44.0,49.35189394,19.0,11.0,15.2173913,27.17391304,27.17391304,11.95652174,1.0869565199999998,17.39130435,40.24896265560166
